latitude,longitude,prix
48.838628,2.312069,3500
48.8442,2.26573,2700
48.777102,2.261443,8900
48.836988,2.305912,3900
48.822263,2.262617,3200
48.840979,2.327798,3200
48.852215,2.297024,2700
48.845028,2.262202,3200
48.820989,2.255732,6500
48.846366,2.27089,3200
48.807499,2.40446,3900
48.856175,2.210847,3900
48.910845,2.286806,5300
48.832921,2.303382,6500
48.84802,2.347344,3500
48.845028,2.262202,3200
48.845028,2.262202,3900
48.855388,2.380262,9800
48.880008,2.273657,3200
48.873768,2.30418,7300
48.883072,2.341298,4700
48.852787,2.293329,5200
48.852852,2.335758,8100
48.842427,2.331433,3200
48.838537,2.280951,3500
48.871663,2.42436,6500
48.780278,2.374503,3200
48.845028,2.262202,3200
48.898836,2.233956,4700
48.846278,2.287493,8100
48.852298,2.295208,2700
48.854265,2.291245,5700
48.827615,2.272152,3500
48.84301,2.282561,3900
48.838537,2.280951,3000
48.845028,2.262202,3900
48.845028,2.262202,3900
48.814877,2.331042,3200
48.841292,2.284995,2700
48.845028,2.262202,3900
48.852821,2.326236,9000
48.890336,2.320295,15600
48.842427,2.331433,3000
48.816359,2.333633,2700
48.834444,2.288352,5700
48.837426,2.285978,8300
48.827701,2.3313,4700
48.826052,2.372953,9700
48.835411,2.29064,2700
48.878645,2.346619,5300
48.825791,2.359667,5700
48.863666,2.348847,5300
48.842427,2.331433,8100
48.836539,2.297484,2700
48.823924,2.29328,2700
48.820989,2.255732,6500
48.825728,2.351781,3200
48.838537,2.280951,3000
48.837588,2.409066,7300
